,project_id,year_start,year_finish,sector,total_ammount,province,duration_days,status,region
250,16902,2020,2023,Water and Sewer,1627440653.0,buenos aires,1022,Finished,Buenos Aires
251,16903,2021,2022,Water and Sewer,388693048.0,buenos aires,554,Finished,Buenos Aires
252,16907,2019,2020,Water and Sewer,20541763.0,buenos aires,455,Finished,Buenos Aires
253,16908,2019,2020,Water and Sewer,19507225.0,buenos aires,305,Finished,Buenos Aires
254,16909,2019,2020,Water and Sewer,18642473.0,buenos aires,343,Finished,Buenos Aires
255,16910,2019,2020,Water and Sewer,19306598.0,buenos aires,275,Finished,Buenos Aires
256,16911,2019,2021,Water and Sewer,21237740.0,buenos aires,637,Finished,Buenos Aires
257,16912,2019,2021,Water and Sewer,18495524.0,buenos aires,488,Finished,Buenos Aires
258,16913,2020,2021,Water and Sewer,59848328.0,buenos aires,467,Finished,Buenos Aires
259,16914,2020,2021,Water and Sewer,54148626.0,buenos aires,360,Finished,Buenos Aires
260,16915,2020,2021,Water and Sewer,13950839.0,buenos aires,122,Finished,Buenos Aires
261,16916,2020,2021,Water and Sewer,13275288.0,buenos aires,112,Finished,Buenos Aires
262,16917,2020,2021,Water and Sewer,12758444.0,buenos aires,257,Finished,Buenos Aires
263,16918,2020,2021,Water and Sewer,14021346.0,buenos aires,366,Finished,Buenos Aires
264,16919,2021,2022,Water and Sewer,806172377.0,buenos aires,383,In progress,Buenos Aires
265,16920,2021,2023,Water and Sewer,642404208.0,buenos aires,705,In progress,Buenos Aires
266,16923,2016,2020,Water and Sewer,81927925.0,buenos aires,1430,Finished,Buenos Aires
267,16926,2018,2020,Water and Sewer,40114348.0,buenos aires,830,Finished,Buenos Aires
268,16932,2021,2022,Water and Sewer,183485738.0,ciudad autónoma de buenos aires,450,Finished,Buenos Aires
269,16933,2021,2023,Water and Sewer,432039174.0,ciudad autónoma de buenos aires,750,In progress,Buenos Aires
270,16941,2021,2022,Water and Sewer,145456707.0,ciudad autónoma de buenos aires,351,Finished,Buenos Aires
271,16948,2021,2023,Water and Sewer,374372134.0,buenos aires,617,Finished,Buenos Aires
272,16950,2021,2022,Water and Sewer,104143043.0,buenos aires,430,Finished,Buenos Aires
273,16956,2021,2022,Water and Sewer,49334380.0,buenos aires,276,Finished,Buenos Aires
274,16967,2021,2023,Water and Sewer,112279141.0,buenos aires,508,In progress,Buenos Aires
275,161006,2021,2023,Water and Sewer,599750022.0,buenos aires,585,In progress,Buenos Aires
276,161009,2021,2023,Water and Sewer,1239478006.0,buenos aires,716,In progress,Buenos Aires
277,161018,2021,2022,Water and Sewer,195208107.0,buenos aires,427,Finished,Buenos Aires
278,161021,2021,2023,Water and Sewer,982300858.0,buenos aires,823,In progress,Buenos Aires
279,161022,2021,2023,Water and Sewer,358375238.0,buenos aires,666,Finished,Buenos Aires
280,161023,2021,2023,Water and Sewer,877576731.0,buenos aires,790,In progress,Buenos Aires
281,161029,2021,2023,Water and Sewer,938329267.0,buenos aires,741,In progress,Buenos Aires
282,161031,2021,2022,Water and Sewer,76653109.0,buenos aires,406,Finished,Buenos Aires
283,161033,2021,2023,Water and Sewer,1103762592.0,buenos aires,830,In progress,Buenos Aires
284,161036,2021,2023,Water and Sewer,183892763.0,buenos aires,672,In progress,Buenos Aires
285,161037,2022,2023,Water and Sewer,53504801.0,buenos aires,235,Finished,Buenos Aires
286,161040,2023,2024,Water and Sewer,56684456.0,buenos aires,330,In progress,Buenos Aires
287,161053,2021,2023,Water and Sewer,1667888712.0,buenos aires,816,In progress,Buenos Aires
288,161063,2021,2023,Water and Sewer,862989717.0,buenos aires,665,Finished,Buenos Aires
289,161065,2021,2022,Water and Sewer,322711412.0,buenos aires,394,Finished,Buenos Aires
290,161066,2021,2023,Water and Sewer,637902310.0,buenos aires,788,In progress,Buenos Aires
291,161067,2021,2023,Water and Sewer,519669889.0,buenos aires,606,Finished,Buenos Aires
292,161125,2021,2022,Water and Sewer,663872279.0,buenos aires,417,Finished,Buenos Aires
293,161135,2021,2023,Water and Sewer,1176519783.0,buenos aires,668,Finished,Buenos Aires
294,161139,2021,2022,Water and Sewer,142304151.0,buenos aires,414,In progress,Buenos Aires
295,161142,2021,2022,Water and Sewer,134125378.0,buenos aires,315,Finished,Buenos Aires
296,161161,2022,2024,Water and Sewer,2022330733.0,buenos aires,720,In progress,Buenos Aires
297,161165,2021,2021,Water and Sewer,20368610.0,buenos aires,136,Finished,Buenos Aires
298,161170,2016,2021,Water and Sewer,99910130.0,buenos aires,1816,Finished,Buenos Aires
299,161217,2021,2023,Water and Sewer,1792413956.0,buenos aires,842,In progress,Buenos Aires
300,161219,2021,2022,Water and Sewer,57921486.0,buenos aires,440,Finished,Buenos Aires
301,161221,2021,2023,Water and Sewer,251966043.0,buenos aires,742,In progress,Buenos Aires
302,161223,2021,2021,Water and Sewer,32165887.0,buenos aires,210,Finished,Buenos Aires
303,161316,2021,2022,Water and Sewer,43022596.0,buenos aires,318,Finished,Buenos Aires
304,162169,2023,2024,Water and Sewer,52436698.0,buenos aires,240,In progress,Buenos Aires
305,162288,2022,2024,Water and Sewer,2026592380.0,buenos aires,735,In progress,Buenos Aires
306,162320,2021,2023,Water and Sewer,463493964.0,buenos aires,694,Finished,Buenos Aires
307,162322,2021,2024,Water and Sewer,641588255.0,buenos aires,963,In progress,Buenos Aires
308,162323,2021,2022,Water and Sewer,356306884.0,buenos aires,510,Finished,Buenos Aires
309,162325,2021,2023,Water and Sewer,2163841274.0,buenos aires,664,In progress,Buenos Aires
310,162326,2021,2024,Water and Sewer,1224786475.0,buenos aires,1040,In progress,Buenos Aires
311,162327,2021,2022,Water and Sewer,368678213.0,buenos aires,420,Finished,Buenos Aires
312,162330,2021,2023,Water and Sewer,726154569.0,buenos aires,623,In progress,Buenos Aires
313,162332,2021,2023,Water and Sewer,266773687.0,buenos aires,585,Finished,Buenos Aires
314,162338,2019,2021,Water and Sewer,24888906.0,buenos aires,566,Finished,Buenos Aires
315,162340,2021,2021,Water and Sewer,6842859.0,buenos aires,191,Finished,Buenos Aires
316,162341,2023,2023,Water and Sewer,27844838.0,buenos aires,180,Other,Buenos Aires
317,162342,2021,2022,Water and Sewer,231670404.0,buenos aires,343,Finished,Buenos Aires
318,162343,2021,2022,Water and Sewer,88924825.0,buenos aires,270,In progress,Buenos Aires
